Quarter,Region,State,Purpose,Trips
2000 Q3,Adelaide,South Australia,Other,40
2000 Q4,Adelaide,South Australia,Other,47
2001 Q1,Adelaide,South Australia,Other,37
2001 Q2,Adelaide,South Australia,Other,65
2001 Q3,Adelaide,South Australia,Other,55
2001 Q4,Adelaide,South Australia,Other,56
2002 Q1,Adelaide,South Australia,Other,42
2002 Q2,Adelaide,South Australia,Other,37
2002 Q3,Adelaide,South Australia,Other,51
2002 Q4,Adelaide,South Australia,Other,44
2003 Q1,Adelaide,South Australia,Other,40
2003 Q2,Adelaide,South Australia,Other,64
2003 Q3,Adelaide,South Australia,Other,44
2003 Q4,Adelaide,South Australia,Other,43
2004 Q1,Adelaide,South Australia,Other,42
2004 Q2,Adelaide,South Australia,Other,56
2004 Q3,Adelaide,South Australia,Other,59
2004 Q4,Adelaide,South Australia,Other,58
2005 Q1,Adelaide,South Australia,Other,50
2005 Q2,Adelaide,South Australia,Other,49
2005 Q3,Adelaide,South Australia,Other,32
2005 Q4,Adelaide,South Australia,Other,56
2006 Q1,Adelaide,South Australia,Other,50
2006 Q2,Adelaide,South Australia,Other,55
2006 Q3,Adelaide,South Australia,Other,55
2006 Q4,Adelaide,South Australia,Other,42
2007 Q1,Adelaide,South Australia,Other,41
2007 Q2,Adelaide,South Australia,Other,50
2007 Q3,Adelaide,South Australia,Other,55
2007 Q4,Adelaide,South Australia,Other,52
2008 Q1,Adelaide,South Australia,Other,44
2008 Q2,Adelaide,South Australia,Other,38
2008 Q3,Adelaide,South Australia,Other,46
2008 Q4,Adelaide,South Australia,Other,44
2009 Q1,Adelaide,South Australia,Other,52
2009 Q2,Adelaide,South Australia,Other,52
2009 Q3,Adelaide,South Australia,Other,56
2009 Q4,Adelaide,South Australia,Other,42
2010 Q1,Adelaide,South Australia,Other,44
2010 Q2,Adelaide,South Australia,Other,56
2010 Q3,Adelaide,South Australia,Other,53
2010 Q4,Adelaide,South Australia,Other,55
2011 Q1,Adelaide,South Australia,Other,70
2011 Q2,Adelaide,South Australia,Other,57
2011 Q3,Adelaide,South Australia,Other,62
2011 Q4,Adelaide,South Australia,Other,58
2012 Q1,Adelaide,South Australia,Other,58
2012 Q2,Adelaide,South Australia,Other,88
2012 Q3,Adelaide,South Australia,Other,67
2012 Q4,Adelaide,South Australia,Other,42
2013 Q1,Adelaide,South Australia,Other,53
2013 Q2,Adelaide,South Australia,Other,52
2013 Q3,Adelaide,South Australia,Other,80
2013 Q4,Adelaide,South Australia,Other,102
2014 Q1,Adelaide,South Australia,Other,71
2014 Q2,Adelaide,South Australia,Other,83
2014 Q3,Adelaide,South Australia,Other,46
2014 Q4,Adelaide,South Australia,Other,87
2015 Q1,Adelaide,South Australia,Other,78
2015 Q2,Adelaide,South Australia,Other,107
2015 Q3,Adelaide,South Australia,Other,52
2015 Q4,Adelaide,South Australia,Other,45
2016 Q1,Adelaide,South Australia,Other,62
2016 Q2,Adelaide,South Australia,Other,80
2016 Q3,Adelaide,South Australia,Other,82
2016 Q4,Adelaide,South Australia,Other,84
2017 Q1,Adelaide,South Australia,Other,94
2017 Q2,Adelaide,South Australia,Other,83
2017 Q3,Adelaide,South Australia,Other,96
2017 Q4,Adelaide,South Australia,Other,75
1998 Q1,Adelaide,South Australia,Visiting,242
1998 Q2,Adelaide,South Australia,Visiting,170
1998 Q3,Adelaide,South Australia,Visiting,232
1998 Q4,Adelaide,South Australia,Visiting,181
1999 Q1,Adelaide,South Australia,Visiting,200
1999 Q2,Adelaide,South Australia,Visiting,180
1999 Q3,Adelaide,South Australia,Visiting,204
1999 Q4,Adelaide,South Australia,Visiting,214
2000 Q1,Adelaide,South Australia,Visiting,252
2000 Q2,Adelaide,South Australia,Visiting,179
2000 Q3,Adelaide,South Australia,Visiting,148
2000 Q4,Adelaide,South Australia,Visiting,213
2001 Q1,Adelaide,South Australia,Visiting,240
2001 Q2,Adelaide,South Australia,Visiting,156
2001 Q3,Adelaide,South Australia,Visiting,163
2001 Q4,Adelaide,South Australia,Visiting,256
2002 Q1,Adelaide,South Australia,Visiting,198
2002 Q2,Adelaide,South Australia,Visiting,250
2002 Q3,Adelaide,South Australia,Visiting,223
2002 Q4,Adelaide,South Australia,Visiting,190
2003 Q1,Adelaide,South Australia,Visiting,230
2003 Q2,Adelaide,South Australia,Visiting,173
2003 Q3,Adelaide,South Australia,Visiting,175
2003 Q4,Adelaide,South Australia,Visiting,209
2004 Q1,Adelaide,South Australia,Visiting,266
2004 Q2,Adelaide,South Australia,Visiting,214
2004 Q3,Adelaide,South Australia,Visiting,183
2004 Q4,Adelaide,South Australia,Visiting,232
2005 Q1,Adelaide,South Australia,Visiting,262
2005 Q2,Adelaide,South Australia,Visiting,176
2005 Q3,Adelaide,South Australia,Visiting,165
2005 Q4,Adelaide,South Australia,Visiting,182
2006 Q1,Adelaide,South Australia,Visiting,219
2006 Q2,Adelaide,South Australia,Visiting,194
2006 Q3,Adelaide,South Australia,Visiting,163
2006 Q4,Adelaide,South Australia,Visiting,220
2007 Q1,Adelaide,South Australia,Visiting,246
2007 Q2,Adelaide,South Australia,Visiting,221
2007 Q3,Adelaide,South Australia,Visiting,189
2007 Q4,Adelaide,South Australia,Visiting,223
2008 Q1,Adelaide,South Australia,Visiting,244
2008 Q2,Adelaide,South Australia,Visiting,187
2008 Q3,Adelaide,South Australia,Visiting,179
2008 Q4,Adelaide,South Australia,Visiting,219
2009 Q1,Adelaide,South Australia,Visiting,194
2009 Q2,Adelaide,South Australia,Visiting,167
2009 Q3,Adelaide,South Australia,Visiting,207
2009 Q4,Adelaide,South Australia,Visiting,200
2010 Q1,Adelaide,South Australia,Visiting,177
2010 Q2,Adelaide,South Australia,Visiting,190
2010 Q3,Adelaide,South Australia,Visiting,137
2010 Q4,Adelaide,South Australia,Visiting,175
2011 Q1,Adelaide,South Australia,Visiting,214
2011 Q2,Adelaide,South Australia,Visiting,185
2011 Q3,Adelaide,South Australia,Visiting,145
2011 Q4,Adelaide,South Australia,Visiting,207
2012 Q1,Adelaide,South Australia,Visiting,177
2012 Q2,Adelaide,South Australia,Visiting,166
2012 Q3,Adelaide,South Australia,Visiting,174
2012 Q4,Adelaide,South Australia,Visiting,236
2013 Q1,Adelaide,South Australia,Visiting,178
2013 Q2,Adelaide,South Australia,Visiting,213
2013 Q3,Adelaide,South Australia,Visiting,197
2013 Q4,Adelaide,South Australia,Visiting,180
2014 Q1,Adelaide,South Australia,Visiting,211
2014 Q2,Adelaide,South Australia,Visiting,244
2014 Q3,Adelaide,South Australia,Visiting,140
2014 Q4,Adelaide,South Australia,Visiting,262
2015 Q1,Adelaide,South Australia,Visiting,217
2015 Q2,Adelaide,South Australia,Visiting,205
2015 Q3,Adelaide,South Australia,Visiting,214
2015 Q4,Adelaide,South Australia,Visiting,259
2016 Q1,Adelaide,South Australia,Visiting,252
2016 Q2,Adelaide,South Australia,Visiting,219
2016 Q3,Adelaide,South Australia,Visiting,204
2016 Q4,Adelaide,South Australia,Visiting,251
2017 Q1,Adelaide,South Australia,Visiting,270
2017 Q2,Adelaide,South Australia,Visiting,218
2017 Q3,Adelaide,South Australia,Visiting,229
2017 Q4,Adelaide,South Australia,Visiting,238
1998 Q1,Adelaide Hills,South Australia,Business,0
1998 Q2,Adelaide Hills,South Australia,Business,0
1998 Q3,Adelaide Hills,South Australia,Business,7
1998 Q4,Adelaide Hills,South Australia,Business,0
1999 Q1,Adelaide Hills,South Australia,Business,1
1999 Q2,Adelaide Hills,South Australia,Business,1
1999 Q3,Adelaide Hills,South Australia,Business,0
1999 Q4,Adelaide Hills,South Australia,Business,0
2000 Q1,Adelaide Hills,South Australia,Business,0
2000 Q2,Adelaide Hills,South Australia,Business,1
2000 Q3,Adelaide Hills,South Australia,Business,5
2000 Q4,Adelaide Hills,South Australia,Business,7
2001 Q1,Adelaide Hills,South Australia,Business,0
2001 Q2,Adelaide Hills,South Australia,Business,5
2001 Q3,Adelaide Hills,South Australia,Business,2
2001 Q4,Adelaide Hills,South Australia,Business,1
2002 Q1,Adelaide Hills,South Australia,Business,0
2002 Q2,Adelaide Hills,South Australia,Business,2
2002 Q3,Adelaide Hills,South Australia,Business,0
2002 Q4,Adelaide Hills,South Australia,Business,0
2003 Q1,Adelaide Hills,South Australia,Business,0
2003 Q2,Adelaide Hills,South Australia,Business,2
2003 Q3,Adelaide Hills,South Australia,Business,2
2003 Q4,Adelaide Hills,South Australia,Business,0
2004 Q1,Adelaide Hills,South Australia,Business,4
2004 Q2,Adelaide Hills,South Australia,Business,6
2004 Q3,Adelaide Hills,South Australia,Business,29
2004 Q4,Adelaide Hills,South Australia,Business,5
2005 Q1,Adelaide Hills,South Australia,Business,6
2005 Q2,Adelaide Hills,South Australia,Business,7
2005 Q3,Adelaide Hills,South Australia,Business,1
2005 Q4,Adelaide Hills,South Australia,Business,0
2006 Q1,Adelaide Hills,South Australia,Business,1
2006 Q2,Adelaide Hills,South Australia,Business,1
2006 Q3,Adelaide Hills,South Australia,Business,1
2006 Q4,Adelaide Hills,South Australia,Business,3
2007 Q1,Adelaide Hills,South Australia,Business,3
2007 Q2,Adelaide Hills,South Australia,Business,2
2007 Q3,Adelaide Hills,South Australia,Business,1
2007 Q4,Adelaide Hills,South Australia,Business,7
2008 Q1,Adelaide Hills,South Australia,Business,5
2008 Q2,Adelaide Hills,South Australia,Business,5
2008 Q3,Adelaide Hills,South Australia,Business,1
2008 Q4,Adelaide Hills,South Australia,Business,0
2009 Q1,Adelaide Hills,South Australia,Business,0
2009 Q2,Adelaide Hills,South Australia,Business,2
2009 Q3,Adelaide Hills,South Australia,Business,0
2009 Q4,Adelaide Hills,South Australia,Business,7
2010 Q1,Adelaide Hills,South Australia,Business,1
2010 Q2,Adelaide Hills,South Australia,Business,2
2010 Q3,Adelaide Hills,South Australia,Business,4
2010 Q4,Adelaide Hills,South Australia,Business,1
2011 Q1,Adelaide Hills,South Australia,Business,1
2011 Q2,Adelaide Hills,South Australia,Business,1
2011 Q3,Adelaide Hills,South Australia,Business,9
2011 Q4,Adelaide Hills,South Australia,Business,1
2012 Q1,Adelaide Hills,South Australia,Business,0
2012 Q2,Adelaide Hills,South Australia,Business,3
2012 Q3,Adelaide Hills,South Australia,Business,0
2012 Q4,Adelaide Hills,South Australia,Business,5
2013 Q1,Adelaide Hills,South Australia,Business,2
2013 Q2,Adelaide Hills,South Australia,Business,3
2013 Q3,Adelaide Hills,South Australia,Business,0
2013 Q4,Adelaide Hills,South Australia,Business,0
2014 Q1,Adelaide Hills,South Australia,Business,0
2014 Q2,Adelaide Hills,South Australia,Business,1
2014 Q3,Adelaide Hills,South Australia,Business,0
2014 Q4,Adelaide Hills,South Australia,Business,0
2015 Q1,Adelaide Hills,South Australia,Business,1
2015 Q2,Adelaide Hills,South Australia,Business,2
2015 Q3,Adelaide Hills,South Australia,Business,16
2015 Q4,Adelaide Hills,South Australia,Business,0
2016 Q1,Adelaide Hills,South Australia,Business,15
2016 Q2,Adelaide Hills,South Australia,Business,0
2016 Q3,Adelaide Hills,South Australia,Business,4
2016 Q4,Adelaide Hills,South Australia,Business,0
2017 Q1,Adelaide Hills,South Australia,Business,1
2017 Q2,Adelaide Hills,South Australia,Business,4
2017 Q3,Adelaide Hills,South Australia,Business,2
2017 Q4,Adelaide Hills,South Australia,Business,0
1998 Q1,Adelaide Hills,South Australia,Holiday,7
1998 Q2,Adelaide Hills,South Australia,Holiday,14
1998 Q3,Adelaide Hills,South Australia,Holiday,13
1998 Q4,Adelaide Hills,South Australia,Holiday,18
1999 Q1,Adelaide Hills,South Australia,Holiday,11
1999 Q2,Adelaide Hills,South Australia,Holiday,17
1999 Q3,Adelaide Hills,South Australia,Holiday,7
1999 Q4,Adelaide Hills,South Australia,Holiday,10
2000 Q1,Adelaide Hills,South Australia,Holiday,15
2000 Q2,Adelaide Hills,South Australia,Holiday,15
2000 Q3,Adelaide Hills,South Australia,Holiday,36
2000 Q4,Adelaide Hills,South Australia,Holiday,7
2001 Q1,Adelaide Hills,South Australia,Holiday,0
2001 Q2,Adelaide Hills,South Australia,Holiday,9
2001 Q3,Adelaide Hills,South Australia,Holiday,7
2001 Q4,Adelaide Hills,South Australia,Holiday,2
2002 Q1,Adelaide Hills,South Australia,Holiday,10
2002 Q2,Adelaide Hills,South Australia,Holiday,14
2002 Q3,Adelaide Hills,South Australia,Holiday,8
2002 Q4,Adelaide Hills,South Australia,Holiday,11
2003 Q1,Adelaide Hills,South Australia,Holiday,8
2003 Q2,Adelaide Hills,South Australia,Holiday,1
2003 Q3,Adelaide Hills,South Australia,Holiday,8
2003 Q4,Adelaide Hills,South Australia,Holiday,3
2004 Q1,Adelaide Hills,South Australia,Holiday,21
2004 Q2,Adelaide Hills,South Australia,Holiday,4
2004 Q3,Adelaide Hills,South Australia,Holiday,16
2004 Q4,Adelaide Hills,South Australia,Holiday,8
2005 Q1,Adelaide Hills,South Australia,Holiday,9
2005 Q2,Adelaide Hills,South Australia,Holiday,7
2005 Q3,Adelaide Hills,South Australia,Holiday,6
2005 Q4,Adelaide Hills,South Australia,Holiday,4
2006 Q1,Adelaide Hills,South Australia,Holiday,9
2006 Q2,Adelaide Hills,South Australia,Holiday,7
2006 Q3,Adelaide Hills,South Australia,Holiday,6
2006 Q4,Adelaide Hills,South Australia,Holiday,6
2007 Q1,Adelaide Hills,South Australia,Holiday,8
2007 Q2,Adelaide Hills,South Australia,Holiday,5
2007 Q3,Adelaide Hills,South Australia,Holiday,5
2007 Q4,Adelaide Hills,South Australia,Holiday,12
2008 Q1,Adelaide Hills,South Australia,Holiday,5
2008 Q2,Adelaide Hills,South Australia,Holiday,8
2008 Q3,Adelaide Hills,South Australia,Holiday,9
2008 Q4,Adelaide Hills,South Australia,Holiday,8
2009 Q1,Adelaide Hills,South Australia,Holiday,7
2009 Q2,Adelaide Hills,South Australia,Holiday,4
2009 Q3,Adelaide Hills,South Australia,Holiday,7
2009 Q4,Adelaide Hills,South Australia,Holiday,12
2010 Q1,Adelaide Hills,South Australia,Holiday,3
2010 Q2,Adelaide Hills,South Australia,Holiday,5
2010 Q3,Adelaide Hills,South Australia,Holiday,7
2010 Q4,Adelaide Hills,South Australia,Holiday,13
2011 Q1,Adelaide Hills,South Australia,Holiday,6
2011 Q2,Adelaide Hills,South Australia,Holiday,8
2011 Q3,Adelaide Hills,South Australia,Holiday,6
2011 Q4,Adelaide Hills,South Australia,Holiday,17
2012 Q1,Adelaide Hills,South Australia,Holiday,5
2012 Q2,Adelaide Hills,South Australia,Holiday,22
2012 Q3,Adelaide Hills,South Australia,Holiday,5
2012 Q4,Adelaide Hills,South Australia,Holiday,5
2013 Q1,Adelaide Hills,South Australia,Holiday,3
2013 Q2,Adelaide Hills,South Australia,Holiday,24
2013 Q3,Adelaide Hills,South Australia,Holiday,14
2013 Q4,Adelaide Hills,South Australia,Holiday,16
2014 Q1,Adelaide Hills,South Australia,Holiday,13
2014 Q2,Adelaide Hills,South Australia,Holiday,24
2014 Q3,Adelaide Hills,South Australia,Holiday,6
2014 Q4,Adelaide Hills,South Australia,Holiday,4
2015 Q1,Adelaide Hills,South Australia,Holiday,11
2015 Q2,Adelaide Hills,South Australia,Holiday,21
2015 Q3,Adelaide Hills,South Australia,Holiday,16
2015 Q4,Adelaide Hills,South Australia,Holiday,16
2016 Q1,Adelaide Hills,South Australia,Holiday,24
2016 Q2,Adelaide Hills,South Australia,Holiday,11
2016 Q3,Adelaide Hills,South Australia,Holiday,15
2016 Q4,Adelaide Hills,South Australia,Holiday,14
2017 Q1,Adelaide Hills,South Australia,Holiday,13
2017 Q2,Adelaide Hills,South Australia,Holiday,19
2017 Q3,Adelaide Hills,South Australia,Holiday,18
2017 Q4,Adelaide Hills,South Australia,Holiday,13
1998 Q1,Adelaide Hills,South Australia,Other,0
1998 Q2,Adelaide Hills,South Australia,Other,5
1998 Q3,Adelaide Hills,South Australia,Other,3
1998 Q4,Adelaide Hills,South Australia,Other,1
1999 Q1,Adelaide Hills,South Australia,Other,0
1999 Q2,Adelaide Hills,South Australia,Other,0
1999 Q3,Adelaide Hills,South Australia,Other,0
1999 Q4,Adelaide Hills,South Australia,Other,2
2000 Q1,Adelaide Hills,South Australia,Other,0
2000 Q2,Adelaide Hills,South Australia,Other,2
2000 Q3,Adelaide Hills,South Australia,Other,0
2000 Q4,Adelaide Hills,South Australia,Other,0
2001 Q1,Adelaide Hills,South Australia,Other,0
2001 Q2,Adelaide Hills,South Australia,Other,2
2001 Q3,Adelaide Hills,South Australia,Other,0
2001 Q4,Adelaide Hills,South Australia,Other,0
2002 Q1,Adelaide Hills,South Australia,Other,0
2002 Q2,Adelaide Hills,South Australia,Other,4
2002 Q3,Adelaide Hills,South Australia,Other,0
2002 Q4,Adelaide Hills,South Australia,Other,0
2003 Q1,Adelaide Hills,South Australia,Other,1
2003 Q2,Adelaide Hills,South Australia,Other,4
2003 Q3,Adelaide Hills,South Australia,Other,3
2003 Q4,Adelaide Hills,South Australia,Other,0
2004 Q1,Adelaide Hills,South Australia,Other,1
2004 Q2,Adelaide Hills,South Australia,Other,2
2004 Q3,Adelaide Hills,South Australia,Other,1
2004 Q4,Adelaide Hills,South Australia,Other,1
2005 Q1,Adelaide Hills,South Australia,Other,0
2005 Q2,Adelaide Hills,South Australia,Other,2
2005 Q3,Adelaide Hills,South Australia,Other,1
2005 Q4,Adelaide Hills,South Australia,Other,0
2006 Q1,Adelaide Hills,South Australia,Other,1
2006 Q2,Adelaide Hills,South Australia,Other,1
2006 Q3,Adelaide Hills,South Australia,Other,2
2006 Q4,Adelaide Hills,South Australia,Other,2
2007 Q1,Adelaide Hills,South Australia,Other,1
2007 Q2,Adelaide Hills,South Australia,Other,1
2007 Q3,Adelaide Hills,South Australia,Other,1
2007 Q4,Adelaide Hills,South Australia,Other,1
2008 Q1,Adelaide Hills,South Australia,Other,0
2008 Q2,Adelaide Hills,South Australia,Other,1
2008 Q3,Adelaide Hills,South Australia,Other,1
2008 Q4,Adelaide Hills,South Australia,Other,2
2009 Q1,Adelaide Hills,South Australia,Other,1
2009 Q2,Adelaide Hills,South Australia,Other,0
2009 Q3,Adelaide Hills,South Australia,Other,1
2009 Q4,Adelaide Hills,South Australia,Other,0
2010 Q1,Adelaide Hills,South Australia,Other,3
2010 Q2,Adelaide Hills,South Australia,Other,0
2010 Q3,Adelaide Hills,South Australia,Other,1
2010 Q4,Adelaide Hills,South Australia,Other,1
2011 Q1,Adelaide Hills,South Australia,Other,1
2011 Q2,Adelaide Hills,South Australia,Other,0
2011 Q3,Adelaide Hills,South Australia,Other,2
2011 Q4,Adelaide Hills,South Australia,Other,0
2012 Q1,Adelaide Hills,South Australia,Other,1
2012 Q2,Adelaide Hills,South Australia,Other,2
2012 Q3,Adelaide Hills,South Australia,Other,0
2012 Q4,Adelaide Hills,South Australia,Other,1
2013 Q1,Adelaide Hills,South Australia,Other,3
2013 Q2,Adelaide Hills,South Australia,Other,1
2013 Q3,Adelaide Hills,South Australia,Other,1
2013 Q4,Adelaide Hills,South Australia,Other,7
2014 Q1,Adelaide Hills,South Australia,Other,5
2014 Q2,Adelaide Hills,South Australia,Other,1
2014 Q3,Adelaide Hills,South Australia,Other,1
2014 Q4,Adelaide Hills,South Australia,Other,1
2015 Q1,Adelaide Hills,South Australia,Other,1
2015 Q2,Adelaide Hills,South Australia,Other,1
2015 Q3,Adelaide Hills,South Australia,Other,3
2015 Q4,Adelaide Hills,South Australia,Other,9
2016 Q1,Adelaide Hills,South Australia,Other,4
2016 Q2,Adelaide Hills,South Australia,Other,0
2016 Q3,Adelaide Hills,South Australia,Other,3
